Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,3,16,2,1,2,0.125
2,2,16,2,1,2,0.125
4,3,32,8,1,8,0.25
5,3,32,3,1,3,0.09375
6,3,32,3,1,3,0.09375
7,3,16,2,1,2,0.125
8,2,32,16,1,16,0.5
11,3,32,16,1,16,0.5
12,2,32,8,1,8,0.25
13,2,16,8,1,8,0.5
15,3,16,4,1,4,0.25
16,3,16,4,1,4,0.25
17,2,16,2,1,2,0.125
18,2,32,16,1,16,0.5
19,3,16,8,1,8,0.5
20,2,16,4,1,4,0.25
21,3,16,8,1,8,0.5
22,3,16,4,1,4,0.25
25,2,32,8,1,8,0.25
26,3,32,3,1,3,0.09375
27,3,32,16,1,16,0.5
28,2,16,2,1,2,0.125
29,2,32,16,1,16,0.5
31,3,16,2,1,2,0.125
32,2,32,16,1,16,0.5
33,3,32,8,1,8,0.25
35,3,32,2,1,2,0.0625
36,2,32,8,1,8,0.25
38,3,32,16,1,16,0.5
39,3,32,8,1,8,0.25
41,2,16,8,1,8,0.5
43,2,32,3,1,3,0.09375
44,2,16,2,1,2,0.125
45,2,16,4,1,4,0.25
46,2,32,3,1,3,0.09375
47,3,16,8,1,8,0.5
48,2,32,8,1,8,0.25
2,2,32,8,1,8,0.25
3,2,16,2,1,2,0.125
4,2,32,2,1,2,0.0625
6,3,32,8,1,8,0.25
12,3,16,2,1,2,0.125
13,2,32,2,1,2,0.0625
14,3,32,8,1,8,0.25
17,2,16,2,1,2,0.125
20,3,16,2,1,2,0.125
21,2,16,8,1,8,0.5
23,3,32,8,1,8,0.25
24,2,32,8,1,8,0.25
25,3,32,3,1,3,0.09375
26,3,32,2,1,2,0.0625
27,3,32,8,1,8,0.25
29,2,32,8,1,8,0.25
30,2,16,2,1,2,0.125
31,2,32,3,1,3,0.09375
33,2,16,1,1,1,0.0625
35,2,16,1,1,1,0.0625
37,3,32,2,1,2,0.0625
39,2,32,8,1,8,0.25
41,2,16,8,1,8,0.5
43,2,16,2,1,2,0.125
45,3,16,8,1,8,0.5
46,3,16,2,1,2,0.125
47,2,16,4,1,4,0.25
48,3,16,4,1,4,0.25
