Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
3,2,16,8,1,8,0.5
4,2,32,8,1,8,0.25
5,2,16,1,1,1,0.0625
6,2,32,3,1,3,0.09375
8,2,16,2,1,2,0.125
9,2,32,2,1,2,0.0625
11,2,32,2,1,2,0.0625
12,2,16,1,1,1,0.0625
15,2,32,2,1,2,0.0625
17,2,16,1,1,1,0.0625
18,2,32,3,1,3,0.09375
19,2,32,2,1,2,0.0625
20,2,32,8,1,8,0.25
23,2,32,3,1,3,0.09375
25,2,16,2,1,2,0.125
29,2,32,3,1,3,0.09375
34,2,32,3,1,3,0.09375
1,2,32,16,1,16,0.5
2,2,32,8,1,8,0.25
6,2,32,16,1,16,0.5
8,2,16,2,1,2,0.125
11,2,32,16,1,16,0.5
12,2,32,2,1,2,0.0625
13,2,32,16,1,16,0.5
17,2,16,4,1,4,0.25
18,2,16,8,1,8,0.5
19,2,16,8,1,8,0.5
20,2,16,1,1,1,0.0625
23,2,32,8,1,8,0.25
24,2,16,1,1,1,0.0625
28,2,16,2,1,2,0.125
30,2,16,2,1,2,0.125
31,2,16,2,1,2,0.125
33,2,16,4,1,4,0.25
34,2,32,8,1,8,0.25
